1001,T001,000000,0000
1002,T002,000000,0000
1003,T003,000000,0000
1004,T004,000000,0000
1005,T005,000000,0000
1006,T006,000000,0000
1007,T007,000000,0000
1008,T008,000000,0000
1009,T009,000000,0000
1010,T010,000000,0000
1011,T011,000000,0000
1012,T012,000000,0000
1001,O001,900000,0000
1002,O002,900000,0000
1003,O003,900000,0000
1004,O004,900000,0000
1005,O005,900000,0000
1006,O006,900000,0000
1007,O007,900000,0000
1008,O008,900000,0000
1009,O009,900000,0000
1010,O010,900000,0000
1011,O011,900000,0000
1012,O012,900000,0000
1013,O013,900000,0000
1014,O014,900000,0000
1015,O015,900000,0000
1016,O016,900000,0000
1017,O017,900000,0000
1018,O018,900000,0000
1019,O019,900000,0000
1020,O020,900000,0000
1021,O021,900000,0000
1022,O022,900000,0000
1023,O023,900000,0000
1024,O024,900000,0000
1025,O025,900000,0000
1026,O026,900000,0000
1027,O027,900000,0000
1028,O028,900000,0000
1029,O029,900000,0000
1030,O030,900000,0000
1031,O031,900000,0000
1032,O032,900000,0000
1033,O033,900000,0000
1034,O034,900000,0000
1035,O035,900000,0000
1036,O036,900000,0000
1037,O037,900000,0000
1038,O038,900000,0000
1039,O039,900000,0000
1040,O040,900000,0000
1041,O041,900000,0000
1042,O042,900000,0000
1043,O043,900000,0000
1044,O044,900000,0000
1045,O045,900000,0000
1046,O046,900000,0000
1047,O047,900000,0000
1048,O048,900000,0000
1049,O049,900000,0000
1050,O050,900000,0000
1051,O051,900000,0000
1052,O052,900000,0000
2001,O053,900000,0000
2002,O054,900000,0000
2003,O055,900000,0000
1001,T012,210201,0000
1002,T003,210201,0000
1003,M001,210201,0000
1004,M002,210201,0000
1005,M003,210201,0000
1006,M004,210201,0000
1007,M005,210201,0000
1008,M006,210201,0000
1009,M007,210201,0000
1010,M008,210201,0000
1011,M009,210201,0000
1012,M010,210201,0000
1013,M011,210201,0000
1001,M012,210202,0000
1002,L051,210202,0000
1003,L052,210202,0000
1004,T013,210202,0000
1005,T014,210202,0000
1006,M013,210202,0000
1007,M014,210202,0000
1008,M015,210202,0000
1009,M016,210202,0000
0101,M017,210301,0000
0102,M018,210301,0000
0201,M015,210301,0000
0202,M019,210301,0000
0203,M020,210301,0000
0204,M021,210301,0000
0205,M022,210301,0000
0206,M023,210301,0000
0301,M024,210301,0000
0302,M025,210301,0000
0303,M026,210301,0000
0401,M027,210301,0000
0402,M028,210301,0000
0501,M029,210301,0000
0502,M030,210301,0000
0503,M031,210301,0000
0504,M032,210301,0000
0601,M033,210301,0000
0602,M034,210301,0000
0603,M035,210301,0000
0604,M036,210301,0000
0605,M037,210301,0000
0606,M038,210301,0000
0607,M039,210301,0000
0608,M040,210301,0000
0701,M041,210301,0000
0702,M042,210301,0000
0703,M043,210301,0000
0704,M044,210301,0000
0705,M045,210301,0000
0706,M046,210301,0000
0707,M047,210301,0000
0708,M048,210301,0000
0801,M049,210301,0000
0802,M050,210301,0000
0803,M051,210301,0000
0804,M052,210301,0000
0805,M053,210301,0000
0806,M054,210301,0000
0807,M055,210301,0000
0808,M056,210301,0000
0901,M057,210301,0000
0902,M058,210301,0000
0903,M059,210301,0000
0904,M060,210301,0000
0905,M061,210301,0000
0906,M062,210301,0000
0907,M063,210301,0000
0908,M064,210301,0000
0101,M065,XXXX01,0000
0102,M066,XXXX01,0000
0103,M067,XXXX01,0000
0201,M068,XXXX01,0000
0202,M069,XXXX01,0000
0203,M070,XXXX01,0000
0204,M071,XXXX01,0000
0205,M072,XXXX01,0000
0206,M073,XXXX01,0000
0207,M074,XXXX01,0000
0208,M075,XXXX01,0000
0209,M076,XXXX01,0000
0301,M077,XXXX01,0000
0302,M078,XXXX01,0000
0303,M079,XXXX01,0000
0304,M080,XXXX01,0000
0305,M081,XXXX01,0000
0306,M082,XXXX01,0000
0307,M083,XXXX01,0000
0308,M084,XXXX01,0000
0309,M085,XXXX01,0000
0401,M086,XXXX01,0000
0402,M087,XXXX01,0000
0403,M088,XXXX01,0000
0404,M089,XXXX01,0000
0405,M090,XXXX01,0000
0406,M091,XXXX01,0000
0407,M092,XXXX01,0000
0408,M093,XXXX01,0000
0409,M094,XXXX01,0000
0501,M095,XXXX01,0000
0502,M096,XXXX01,0000
0503,M097,XXXX01,0000
0504,M098,XXXX01,0000
0505,M099,XXXX01,0000
0506,M100,XXXX01,0000
0601,M101,XXXX01,0000
0602,M102,XXXX01,0000
0603,M103,XXXX01,0000
0604,M104,XXXX01,0000
0605,M105,XXXX01,0000
0606,M106,XXXX01,0000
0701,M107,XXXX01,0000
0702,M108,XXXX01,0000
